# Key,Recommendation_1,Recommendation_2,Recommendation_3,Recommendation_4,Recommendation_5
4000249659,brico_tool_drill,,,,
4000204558,brico_tool_drill,,,,
4000252888,brico_tool_drill,,,,
4000260149,brico_tool_drill,,,,
4000278328,brico_tool_drill,,,,
4000278341,brico_tool_chainsaw,,,,
4000311145,brico_tool_chainsaw,,,,
4000281174,brico_tool_chainsaw,,,,
4000281665,brico_tool_chainsaw,,,,
4000281577,brico_tool_chainsaw,,,,
4000280968,brico_tool_chainsaw,,,,
4000311686,brico_tool_chainsaw,,,,
4000311049,brico_tool_chainsaw,brico_tool_drill,brico_dell,brico_tool_chainsaw,brico_tool_hammer
4000204558,brico_tool_hammer,brico_tool_drill,brico_dell,brico_tool_chainsaw,
4000311686,brico_tool_hammer,brico_tool_drill,brico_dell,brico_tool_chainsaw,
4000281174,brico_tool_hammer,brico_tool_drill,brico_dell,brico_tool_chainsaw,
4000233353,brico_tool_hammer,brico_tool_drill,brico_dell,brico_tool_chainsaw,
4000286376,brico_tool_hammer,brico_tool_drill,brico_dell,,
4000278341,brico_tool_hammer,brico_tool_drill,brico_dell,,
4000260149,brico_tool_hammer,brico_tool_drill,brico_dell,,
4000207139,brico_tool_hammer,brico_tool_drill,brico_dell,,
4000325501,brico_tool_chainsaw,,,,
4000311049,brico_tool_chainsaw,,,,
4000336848,brico_tool_chainsaw,,,,
4000336883,brico_tool_chainsaw,,,,
4000345048,brico_tool_chainsaw,,,,
4000338639,brico_tool_chainsaw,,,,
